GeoName,RPP
United States,100
Alabama (Metropolitan Portion),91.436
Alabama (Nonmetropolitan Portion),84.267
Alaska (Metropolitan Portion),103.634
Alaska (Nonmetropolitan Portion),97.218
Arizona (Metropolitan Portion),101.967
Arizona (Nonmetropolitan Portion),79.849
Arkansas (Metropolitan Portion),88.431
Arkansas (Nonmetropolitan Portion),82.174
California (Metropolitan Portion),112.78
California (Nonmetropolitan Portion),102.595
Colorado (Metropolitan Portion),102.109
Colorado (Nonmetropolitan Portion),96.246
Connecticut (Metropolitan Portion),103.896
Connecticut (Nonmetropolitan Portion),100.174
Delaware (Metropolitan Portion),99.253
Delaware (Nonmetropolitan Portion),0
District of Columbia (Metropolitan Portion),110.804
District of Columbia (Nonmetropolitan Portion),0
Florida (Metropolitan Portion),103.717
Florida (Nonmetropolitan Portion),93.456
Georgia (Metropolitan Portion),98.337
Georgia (Nonmetropolitan Portion),87.019
Hawaii (Metropolitan Portion),109.673
Hawaii (Nonmetropolitan Portion),103.86
Idaho (Metropolitan Portion),92.659
Idaho (Nonmetropolitan Portion),87.712
Illinois (Metropolitan Portion),100.252
Illinois (Nonmetropolitan Portion),85.911
Indiana (Metropolitan Portion),93.365
Indiana (Nonmetropolitan Portion),87.42
Iowa (Metropolitan Portion),91.017
Iowa (Nonmetropolitan Portion),84.976
Kansas (Metropolitan Portion),91.768
Kansas (Nonmetropolitan Portion),84.996
Kentucky (Metropolitan Portion),92.827
Kentucky (Nonmetropolitan Portion),86.335
Louisiana (Metropolitan Portion),89.212
Louisiana (Nonmetropolitan Portion),82.926
Maine (Metropolitan Portion),101.269
Maine (Nonmetropolitan Portion),90.282
Maryland (Metropolitan Portion),104.261
Maryland (Nonmetropolitan Portion),92.857
Massachusetts (Metropolitan Portion),108.229
Massachusetts (Nonmetropolitan Portion),109.759
Michigan (Metropolitan Portion),95.817
Michigan (Nonmetropolitan Portion),86.652
Minnesota (Metropolitan Portion),101.792
Minnesota (Nonmetropolitan Portion),85.808
Mississippi (Metropolitan Portion),90.609
Mississippi (Nonmetropolitan Portion),83.682
Missouri (Metropolitan Portion),93.875
Missouri (Nonmetropolitan Portion),83.707
Montana (Metropolitan Portion),91.395
Montana (Nonmetropolitan Portion),89.665
Nebraska (Metropolitan Portion),92.386
Nebraska (Nonmetropolitan Portion),85.973
Nevada (Metropolitan Portion),97.342
Nevada (Nonmetropolitan Portion),93.249
New Hampshire (Metropolitan Portion),107.756
New Hampshire (Nonmetropolitan Portion),101.23
New Jersey (Metropolitan Portion),108.883
New Jersey (Nonmetropolitan Portion),0
New Mexico (Metropolitan Portion),92.119
New Mexico (Nonmetropolitan Portion),86.097
New York (Metropolitan Portion),108.695
New York (Nonmetropolitan Portion),91.422
North Carolina (Metropolitan Portion),95.32
North Carolina (Nonmetropolitan Portion),87.924
North Dakota (Metropolitan Portion),89.384
North Dakota (Nonmetropolitan Portion),87.73
Ohio (Metropolitan Portion),92.719
Ohio (Nonmetropolitan Portion),87.446
Oklahoma (Metropolitan Portion),90.095
Oklahoma (Nonmetropolitan Portion),83.838
Oregon (Metropolitan Portion),105.586
Oregon (Nonmetropolitan Portion),99.524
Pennsylvania (Metropolitan Portion),98.411
Pennsylvania (Nonmetropolitan Portion),88.715
Rhode Island (Metropolitan Portion),101.412
Rhode Island (Nonmetropolitan Portion),0
South Carolina (Metropolitan Portion),94.209
South Carolina (Nonmetropolitan Portion),85.665
South Dakota (Metropolitan Portion),90.145
South Dakota (Nonmetropolitan Portion),85.737
Tennessee (Metropolitan Portion),94.212
Tennessee (Nonmetropolitan Portion),84.996
Texas (Metropolitan Portion),98.194
Texas (Nonmetropolitan Portion),87.133
Utah (Metropolitan Portion),95.655
Utah (Nonmetropolitan Portion),89.743
Vermont (Metropolitan Portion),100.04
Vermont (Nonmetropolitan Portion),94.648
Virginia (Metropolitan Portion),102.111
Virginia (Nonmetropolitan Portion),88.214
Washington (Metropolitan Portion),109.557
Washington (Nonmetropolitan Portion),98.011
West Virginia (Metropolitan Portion),90.983
West Virginia (Nonmetropolitan Portion),87.263
Wisconsin (Metropolitan Portion),94.492
Wisconsin (Nonmetropolitan Portion),89.007
Wyoming (Metropolitan Portion),91.292
Wyoming (Nonmetropolitan Portion),90.657
