Area Name,"Employment per 1,000 jobs",Occupation
Alabama (01-00000),8.616,Software Developer
Alaska (02-00000),1.352,Software Developer
Arizona (04-00000),11.153,Software Developer
Arkansas (05-00000),4.959,Software Developer
California (06-00000),16.205,Software Developer
Colorado (08-00000),16.942,Software Developer
Connecticut (09-00000),9.803,Software Developer
Delaware (10-00000),8.084,Software Developer
District of Columbia (11-00000),11.638,Software Developer
Florida (12-00000),8.412,Software Developer
Georgia (13-00000),9.751,Software Developer
Hawaii (15-00000),3.125,Software Developer
Idaho (16-00000),5.868,Software Developer
Illinois (17-00000),8.984,Software Developer
Indiana (18-00000),3.984,Software Developer
Iowa (19-00000),6.298,Software Developer
Kansas (20-00000),11.077,Software Developer
Kentucky (21-00000),3.547,Software Developer
Louisiana (22-00000),2.027,Software Developer
Maine (23-00000),4.318,Software Developer
Maryland (24-00000),11.628,Software Developer
Massachusetts (25-00000),14.895,Software Developer
Michigan (26-00000),9.450,Software Developer
Minnesota (27-00000),13.553,Software Developer
Mississippi (28-00000),2.757,Software Developer
Missouri (29-00000),5.845,Software Developer
Montana (30-00000),4.061,Software Developer
Nebraska (31-00000),8.795,Software Developer
Nevada (32-00000),3.032,Software Developer
New Hampshire (33-00000),11.722,Software Developer
New Jersey (34-00000),13.438,Software Developer
New Mexico (35-00000),5.591,Software Developer
New York (36-00000),10.913,Software Developer
North Carolina (37-00000),11.757,Software Developer
North Dakota (38-00000),3.553,Software Developer
Ohio (39-00000),8.013,Software Developer
Oklahoma (40-00000),4.225,Software Developer
Oregon (41-00000),10.736,Software Developer
Pennsylvania (42-00000),7.873,Software Developer
Puerto Rico (72-00000),1.685,Software Developer
Rhode Island (44-00000),12.176,Software Developer
South Carolina (45-00000),5.384,Software Developer
South Dakota (46-00000),4.827,Software Developer
Tennessee (47-00000),5.727,Software Developer
Texas (48-00000),10.938,Software Developer
Utah (49-00000),17.053,Software Developer
Vermont (50-00000),(8) -,Software Developer
Virgin Islands (78-00000),1.272,Software Developer
Virginia (51-00000),20.492,Software Developer
Washington (53-00000),25.840,Software Developer
West Virginia (54-00000),3.245,Software Developer
Wisconsin (55-00000),7.582,Software Developer
Wyoming (56-00000),3.670,Software Developer
Alabama (01-00000),0.018,Economist
Alaska (02-00000),(8) -,Economist
Arizona (04-00000),(8) -,Economist
Arkansas (05-00000),0.045,Economist
California (06-00000),0.078,Economist
Colorado (08-00000),0.080,Economist
Connecticut (09-00000),0.117,Economist
District of Columbia (11-00000),4.248,Economist
Florida (12-00000),0.047,Economist
