"state","occupation","median_annual_wage","true_state_rpp","real_median_annual_wage","employment_per_1000"
"Alabama","Software Developer","113020","88.43","127807.31","8.616"
"Alaska","Software Developer","119600","101.39","117960.35","1.352"
"Arizona","Software Developer","128690","99.53","129297.70","11.153"
"Arkansas","Software Developer","96820","85.62","113081.06","4.959"
"California","Software Developer","170910","112.17","152366.94","16.205"
"Colorado","Software Developer","134540","101.29","132826.54","16.942"
"Connecticut","Software Developer","130870","103.37","126603.46","9.803"
"Delaware","Software Developer","135160","82.38","164068.95","8.084"
"Florida","Software Developer","126550","102.90","122983.48","8.412"
"Georgia","Software Developer","128920","95.39","135150.44","9.751"
"Hawaii","Software Developer","119880","108.86","110123.09","3.125"
"Idaho","Software Developer","107900","91.13","118402.28","5.868"
"Illinois","Software Developer","127770","98.39","129860.76","8.984"
"Indiana","Software Developer","103570","91.64","113018.33","3.984"
"Iowa","Software Developer","109850","88.78","123732.82","6.298"
"Kansas","Software Developer","106660","89.87","118682.54","11.077"
"Kentucky","Software Developer","106200","90.17","117777.53","3.547"
"Louisiana","Software Developer","102290","87.45","116969.70","2.027"
"Maine","Software Developer","113800","94.57","120334.14","4.318"
"Maryland","Software Developer","137890","102.66","134317.16","11.628"
"Massachusetts","Software Developer","150520","108.37","138894.53","14.895"
"Michigan","Software Developer","107820","93.34","115513.18","9.450"
"Minnesota","Software Developer","124540","97.32","127969.58","13.553"
"Mississippi","Software Developer","86460","86.87","99528.03","2.757"
"Missouri","Software Developer","114550","90.72","126267.64","5.845"
"Montana","Software Developer","100190","90.58","110609.41","4.061"
"Nebraska","Software Developer","116420","90.65","128428.02","8.795"
"Nevada","Software Developer","129030","97.10","132883.63","3.032"
"New Hampshire","Software Developer","132420","105.02","126090.27","11.722"
"New Jersey","Software Developer","132400","102.35","129360.04","13.438"
"New Mexico","Software Developer","120820","90.61","133340.69","5.591"
"New York","Software Developer","161260","106.45","151488.96","10.913"
"North Carolina","Software Developer","131000","92.88","141042.20","11.757"
"North Dakota","Software Developer","98550","88.74","111054.77","3.553"
"Ohio","Software Developer","107690","91.45","117758.34","8.013"
"Oklahoma","Software Developer","107420","87.91","122193.15","4.225"
"Oregon","Software Developer","135260","104.37","129596.63","10.736"
"Pennsylvania","Software Developer","123740","96.08","128788.51","7.873"
"Rhode Island","Software Developer","128660","92.28","139423.49","12.176"
"South Carolina","Software Developer","108690","91.47","118825.84","5.384"
"South Dakota","Software Developer","87770","88.25","99456.09","4.827"
"Tennessee","Software Developer","117340","91.08","128831.80","5.727"
"Texas","Software Developer","130500","96.42","135345.36","10.938"
"Utah","Software Developer","127390","95.06","134010.10","17.053"
"Vermont","Software Developer","130720","96.54","135405.01","8"
"Virginia","Software Developer","134470","98.78","136130.80","20.492"
"Washington","Software Developer","166910","107.59","155135.24","25.840"
"West Virginia","Software Developer","103550","88.94","116426.80","3.245"
"Wisconsin","Software Developer","103360","92.68","111523.52","7.582"
"Wyoming","Software Developer","112590","91.05","123657.33","3.670"
"Alabama","Economist","103400","88.43","116928.64","0.018"
"Alaska","Economist","108960","101.39","107466.22","8"
"Arizona","Economist","96390","99.53","96845.17","8"
"California","Economist","100510","112.17","89605.06","0.078"
"Colorado","Economist","111540","101.29","110119.46","0.080"
"Connecticut","Economist","103200","103.37","99835.54","0.117"
"Florida","Economist","89250","102.90","86734.69","0.047"
"Georgia","Economist","127220","95.39","133368.28","0.070"
"Hawaii","Economist","81740","108.86","75087.27","0.090"
"Idaho","Economist","78770","91.13","86436.96","0.128"
"Illinois","Economist","112790","98.39","114635.63","0.098"
"Indiana","Economist","95830","91.64","104572.24","0.020"
"Iowa","Economist","92750","88.78","104471.73","0.047"
"Kansas","Economist","115100","89.87","128073.88","0.079"
"Kentucky","Economist","65470","90.17","72607.30","0.082"
"Louisiana","Economist","89010","87.45","101783.88","0.039"
"Maine","Economist","80670","94.57","85301.89","0.089"
"Maryland","Economist","137610","102.66","134044.42","0.334"
"Massachusetts","Economist","103170","108.37","95201.62","0.211"
"Michigan","Economist","94850","93.34","101617.74","0.064"
"Minnesota","Economist","107470","97.32","110429.51","0.071"
"Missouri","Economist","115520","90.72","127336.86","0.070"
"Montana","Economist","95990","90.58","105972.62","0.135"
"Nebraska","Economist","66690","90.65","73568.67","0.090"
"Nevada","Economist","84540","97.10","87064.88","0.062"
"New Jersey","Economist","102350","102.35","100000.00","0.025"
"New Mexico","Economist","82490","90.61","91038.52","8"
"New York","Economist","142300","106.45","133677.78","0.092"
"North Carolina","Economist","111770","92.88","120338.07","0.050"
"Ohio","Economist","117750","91.45","128758.88","0.024"
